名詞,,サ変名詞,,形容動詞,,組織名,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,副詞,,名詞B,,動詞B,,副詞B,,名詞C,,否定助動詞,
ボタン,6,入力,8,不要,2,スズキ,1,今,3,JA,4,暗証番号,4,はい,32,押す,17,再度,2,いくら,1,する,25,そう,22,音,1,ない,1
自宅,3,確認,7,普通,2,,,本日,3,,,農業協同組合,3,ありがとう,4,出る,4,もう一度,1,,,なる,11,よろしく,1,,,,
カード,2,手続き,5,,,,,すべて,1,,,明細書,3,あっ,2,思う,3,誠に,1,,,ある,8,,,,,,
画面,2,振り込み,3,,,,,今回,1,,,電話番号,2,え,1,終わる,2,,,,,いらっしゃる,2,,,,,,
残高,2,表示,3,,,,,前,1,,,お客様番号,1,えー,1,合わせる,1,,,,,とる,2,,,,,,
農協,2,終了,2,,,,,,,,,銀行本店営業部,1,,,取る,1,,,,,ござる,1,,,,,,
キャッシュカード,1,お願い,1,,,,,,,,,口座番号,1,,,照らす,1,,,,,,,,,,,,
ハイフン,1,お世話,1,,,,,,,,,残高照会,1,,,整う,1,,,,,,,,,,,,
機械,1,一緒,1,,,,,,,,,振り込み作業,1,,,入れる,1,,,,,,,,,,,,
支店,1,失礼,1,,,,,,,,,振り込み先入力,1,,,,,,,,,,,,,,,,
手元,1,電話,1,,,,,,,,,代表者,1,,,,,,,,,,,,,,,,
当行,1,発行,1,,,,,,,,,普通預金,1,,,,,,,,,,,,,,,,
本人,1,表記,1,,,,,,,,,,,,,,,,,,,,,,,,,,
名前,1,連絡,1,,,,,,,,,,,,,,,,,,,,,,,,,,
