名詞,,サ変名詞,,固有名詞,,組織名,,地名,,ナイ形容,,副詞可能,,未知語,,感動詞,,動詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
キャッシュカード,3,確認,3,ハシ,1,ムラコシ,1,千葉,1,間違い,2,以前,1,フクダ,1,はい,2,書く,2,あと,2,する,8,ない,3,まず,2,他,1,ない,3,よい,1
通帳,3,電話,3,,,,,流山,1,,,今日,1,,,え,1,持つ,1,うち,1,ある,4,よろしい,1,まま,1,宅,1,,,,
名前,3,逮捕,2,,,,,,,,,朝,1,,,すいません,1,住む,1,,,いう,1,,,,,,,,,,
家族,2,,,,,,,,,,,,,,,もしもし,1,待つ,1,,,いらっしゃる,1,,,,,,,,,,
主人,2,,,,,,,,,,,,,,,,,知る,1,,,なくす,1,,,,,,,,,,
住所,2,,,,,,,,,,,,,,,,,聞く,1,,,なくなる,1,,,,,,,,,,
男性,2,,,,,,,,,,,,,,,,,預ける,1,,,,,,,,,,,,,,
カバン,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タカ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
警察,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
現金,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財布,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持ち物,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千万,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名簿,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
