名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
自宅,3,手続き,2,大丈夫,1,山本,1,間違い,1,本日,2,OO,2,医療費,2,はい,13,出る,2,ところ,1,なる,6,ない,1,いつも,1,月,2,ない,2
書類,3,電話,2,,,,,,,過去,1,払金,1,社会保険事務局,2,あ,5,頂く,2,,,する,3,,,そう,1,,,,
区役所,2,払い戻し,2,,,,,,,今,1,,,行政機関,1,えと,1,行く,1,,,できる,1,,,どうか,1,,,,
お忙しい,1,お受け取り,1,,,,,,,昨年,1,,,返金書類,1,もしもし,1,差し上げる,1,,,なさる,1,,,,,,,,
医療,1,お世話,1,,,,,,,先日,1,,,,,,,思う,1,,,,,,,,,,,,
期限,1,お伝え,1,,,,,,,直接,1,,,,,,,取る,1,,,,,,,,,,,,
支払い,1,確認,1,,,,,,,,,,,,,,,申す,1,,,,,,,,,,,,
取り扱い,1,合算,1,,,,,,,,,,,,,,,切れる,1,,,,,,,,,,,,
番号,1,失礼,1,,,,,,,,,,,,,,,頂ける,1,,,,,,,,,,,,
病院,1,送付,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保険,1,返金,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
料金,1,返送,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,連絡,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
