名詞,,サ変名詞,,形容動詞,,地名,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,動詞B,,副詞B,,名詞C,,否定助動詞,
コンビニ,6,購入,4,大丈夫,2,東京,1,時間,1,ぇとまずこのお,1,電子決済,2,はい,6,頂ける,4,赤い,1,少々,1,する,20,そのまま,2,形,3,ない,3
自体,5,確認,3,可能,1,,,前,1,,,管理センター,1,あ,3,分かる,4,,,,,なる,11,まず,2,,,,
マネー,4,交換,3,主,1,,,,,,,債権管理センター,1,あの,2,届く,3,,,,,ある,2,ちょうど,1,,,,
コンテンツ,3,お願い,2,,,,,,,,,支払い方法,1,あのー,2,行う,1,,,,,ござる,1,ちょっと,1,,,,
ネット,3,お待ち,2,,,,,,,,,支払い用紙,1,え,1,合わせる,1,,,,,できる,1,もう,1,,,,
ポイント,3,タッチ,2,,,,,,,,,申請費用,1,えと,1,持つ,1,,,,,やる,1,よろしく,1,,,,
支払い,3,説明,2,,,,,,,,,未納料金支払い,1,すみません,1,取る,1,,,,,,,,,,,,
やり方,2,連絡,2,,,,,,,,,利用料金,1,そうですね,1,取れる,1,,,,,,,,,,,,
レジ,2,お送り,1,,,,,,,,,領収書,1,もしもし,1,出る,1,,,,,,,,,,,,
機会,2,メール,1,,,,,,,,,,,,,申す,1,,,,,,,,,,,,
機械,2,使用,1,,,,,,,,,,,,,進める,1,,,,,,,,,,,,
金額,2,失礼,1,,,,,,,,,,,,,待つ,1,,,,,,,,,,,,
裁判所,2,手続き,1,,,,,,,,,,,,,着く,1,,,,,,,,,,,,
調べ,2,出廷,1,,,,,,,,,,,,,,,,,,,,,,,,,,
お客様,1,召喚,1,,,,,,,,,,,,,,,,,,,,,,,,,,
インターネット,1,通告,1,,,,,,,,,,,,,,,,,,,,,,,,,,
サイト,1,電話,1,,,,,,,,,,,,,,,,,,,,,,,,,,
フルネーム,1,入金,1,,,,,,,,,,,,,,,,,,,,,,,,,,
画像,1,発行,1,,,,,,,,,,,,,,,,,,,,,,,,,,
会社,1,返事,1,,,,,,,,,,,,,,,,,,,,,,,,,,
現金,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自宅,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手紙,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生年月日,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電子,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動画,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
封書,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本人,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未納,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名前,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流れ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
料金,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
